"PaperID","PaperTitle","AuthorNames","CleanSessionName","SessionName","OrderinSession","SessionNum"
"S12.6","A Generic Continuous Multi-Joint Spinal Robotic System for Agile and Accurate Behaviors with GNN-MPC method","Ying Wu, Zida Zhou, Renmingliu, Lanxiang Zheng, Hui Cheng","Control and Dynamics","12. Control and Dynamics",6,12
"S12.7","Behavior Synthesis via Contact-Aware Fisher Information Maximization","Hrishikesh Sathyanarayan, Ian Abraham","Control and Dynamics","12. Control and Dynamics",7,12
"S12.8","Geometric Gait Optimization for Kinodynamic Systems Using a Lie Group Integrator","Yanhao Yang, Ross Hatton","Control and Dynamics","12. Control and Dynamics",8,12
"S12.9","Riemannian Direct Trajectory Optimization of Rigid Bodies on Matrix Lie Groups","Sangli Teng, Tzu-Yuan Lin, William A. Clark, Ram Vasudevan, Maani Ghaffari","Control and Dynamics","12. Control and Dynamics",9,12
"S12.10","Provably-Safe, Online System Identification","Bohao Zhang, Zichang Zhou, Ram Vasudevan","Control and Dynamics","12. Control and Dynamics",10,12
"S13.1","Human2LocoMan: Learning Versatile Quadrupedal Manipulation with Human Pretraining","Yaru Niu, Yunzhe Zhang, Mingyang Yu, Changyi Lin, Chenhao Li, Yikai Wang, Yuxiang Yang, Wenhao Yu, Tingnan Zhang, Zhenzhen Li, Jonathan Francis, Bingqing Chen, Jie Tan, Ding Zhao","Mobile Manipulation and Locomotion","13. Mobile Manipulation and Locomotion",1,13
"S13.2","Gain Tuning Is Not What You Need: Reward Gain Adaptation for Constrained Locomotion Learning","Arthicha Srisuchinnawong, Poramate Manoonpong","Mobile Manipulation and Locomotion","13. Mobile Manipulation and Locomotion",2,13
"S13.3","SATA: Safe and Adaptive Torque-Based Locomotion Policies Inspired by Animal Learning","Li Peizhuo, Hongyi Li, Ge Sun, Jin Cheng, Xinrong Yang, Guillaume Bellegarda, Milad Shafiee Ashtiani, Yuhong Cao, Auke Ijspeert, Guillaume Adrien Sartoretti","Mobile Manipulation and Locomotion","13. Mobile Manipulation and Locomotion",3,13
"S13.4","Bridging the Sim-to-Real Gap for Athletic Loco-Manipulation","Nolan Fey, Gabriel B. Margolis, Martin Peticco, Pulkit Agrawal","Mobile Manipulation and Locomotion","13. Mobile Manipulation and Locomotion",4,13
"S13.5","Adaptive Locomotion on Mud through Proprioceptive Sensing of Substrate Properties","Shipeng Liu, Jiaze Tang, Siyuan Meng, Feifei Qian","Mobile Manipulation and Locomotion","13. Mobile Manipulation and Locomotion",5,13
"S13.6","Discrete-Time Hybrid Automata Learning: Legged Locomotion Meets Skateboarding","Hang Liu, Sangli Teng, Ben Liu, Wei Zhang, Maani Ghaffari","Mobile Manipulation and Locomotion","13. Mobile Manipulation and Locomotion",6,13
"S13.7","SafeMimic: Towards Safe and Autonomous Human-to-Robot Imitation for Mobile Manipulation","Arpit Bahety, Arnav Balaji, Ben Abbatematteo, Roberto Martín-Martín","Mobile Manipulation and Locomotion","13. Mobile Manipulation and Locomotion",7,13
"S13.8","DVS: Dynamic Virtual-Real Simulation Platform for Mobile Robotic Tasks","Zijie Zheng, Zeshun Li, Yunpeng Wang, Qinghongbing Xie, Long Zeng","Mobile Manipulation and Locomotion","13. Mobile Manipulation and Locomotion",8,13
"S13.9","Flying Hand: End-Effector-Centric Framework for Versatile Aerial Manipulation Teleoperation and Policy Learning","Guanqi He, Xiaofeng Guo, Luyi Tang, Yuanhang Zhang, Mohammadreza Mousaei, Jiahe Xu, Junyi Geng, Sebastian Scherer, Guanya Shi","Mobile Manipulation and Locomotion","13. Mobile Manipulation and Locomotion",9,13
"S14.1","RUKA: Rethinking the Design of Humanoid Hands with Learning","Anya Zorin, Irmak Guzey, Nikhil X. Bhattasali, Lerrel Pinto","Robot Design","14. Robot Design",1,14
"S14.2","Demonstrating LEAP Hand V3: Low-Cost, Easy-to-Assemble, High-Performance Hand for Robot Learning","Kenneth Shaw, Deepak Pathak","Robot Design","14. Robot Design",2,14
"S14.3","Tactile sensing enables vertical obstacle negotiation for elongate many-legged robots","Juntao He, Baxi Chong, Massimiliano Iaschi, Vincent R. Nienhusser, Sehoon Ha, Daniel Goldman","Robot Design","14. Robot Design",3,14
"S14.4","Boxi: Design Decisions in the Context of Algorithmic Performance for Robotics","Jonas Frey, Turcan Tuna, Lanke Frank Tarimo Fu, Cedric Weibel, Katharine Patterson, Benjamin Krummenacher, Matthias Müller, Julian Nubert, Maurice Fallon, Cesar Cadena, Marco Hutter","Robot Design","14. Robot Design",4,14
"S14.5","emg2tendon: From sEMG Signals to Tendon Control in Musculoskeletal Hands","Sagar Verma","Robot Design","14. Robot Design",5,14
"S15.1","CREStE: Scalable Mapless Navigation with Internet Scale Priors and Counterfactual Guidance","Arthur Zhang, Harshit Sikchi, Joydeep Biswas, Amy Zhang","Navigation","15. Navigation",1,15
"S15.2","Generalizing Safety Beyond Collision-Avoidance via Latent-Space Reachability Analysis","Kensuke Nakamura, Lasse Peters, Andrea Bajcsy","Navigation","15. Navigation",2,15
"S15.3","Verti-Bench: A General and Scalable Off-Road Mobility Benchmark for Vertically Challenging Terrain","Tong Xu, Chenhui Pan, Madhan B. Rao, Aniket Datar, Anuj Pokhrel, Yuanjie Lu, Xuesu Xiao","Navigation","15. Navigation",3,15
"S15.4","Meta-Learning Online Dynamics Model Adaptation in Off-Road Autonomous Driving","Jacob Levy, Jason Gibson, Bogdan Vlahov, Erica Tevere, Evangelos Theodorou, David Fridovich-Keil, Patrick Spieler","Navigation","15. Navigation",4,15
"S15.5","Enhancing Autonomous Driving Systems with On-Board Deployed Large Language Models","Nicolas Baumann, Cheng Hu, Paviththiren Sivasothilingam, Haotong Qin, Lei Xie, Michele Magno, Luca Benini","Navigation","15. Navigation",5,15
"S15.6","Demonstrating CavePI: Autonomous Exploration of Underwater Caves by Semantic Guidance","Alankrit Gupta, Adnan Abdullah, Xianyao Li, Vaishnav Ramesh, Ioannis Rekleitis, Md Jahidul Islam","Navigation","15. Navigation",6,15
"S15.7","RAPID: Robust and Agile Planner Using Inverse Reinforcement Learning for Vision-Based Drone Navigation","Minwoo Kim, Geunsik Bae, Jinwoo Lee, Woojae Shin, Changseung Kim, Myongyol Choi, Heejung Shin, Hyongdong Oh","Navigation","15. Navigation",7,15
"S15.8","Neural Inertial Odometry from Lie Events","Royina Karegoudra Jayanth, Yinshuang Xu, Evangelos Chatzipantazis, Kostas Daniilidis, Daniel Gehrig","Navigation","15. Navigation",8,15
"S15.9","Uncertainty-Aware Trajectory Prediction via Rule-Regularized Heteroscedastic Deep Classification","Kumar Manas, Christian Schlauch, Adrian Paschke, Christian Wirth, Nadja Klein","Navigation","15. Navigation",9,15
"S16.1","Prompting with the Future: Open-World Model Predictive Control with Interactive Digital Twins","Chuanruo Ning, Kuan Fang, Wei-Chiu Ma","Manipulation III","16. Manipulation III",1,16
"S16.2","Novel Demonstration Generation with Gaussian Splatting Enables Robust One-Shot Manipulation","Sizhe Yang, Wenye Yu, Jia Zeng, Jun Lv, Kerui Ren, Cewu Lu, Dahua Lin, Jiangmiao Pang","Manipulation III","16. Manipulation III",2,16
"S16.3","STDArm: Transfer Visuomotor Policy From Static Data Training to Dynamic Robot Manipulation","Yifan Duan, Heng Li, Yilong Wu, Wenhao Yu, Xinran Zhang, Yedong Shen, Jianmin Ji, Yanyong Zhang","Manipulation III","16. Manipulation III",3,16
"S16.4","PartInstruct: Part-level Instruction Following for Fine-grained Robot Manipulation","Yifan Yin, Zhengtao Han, Shivam Aarya, Shuhang Xu, Jianxin Wang, Jiawei Peng, Angtian Wang, Alan Yuille, Tianmin Shu","Manipulation III","16. Manipulation III",4,16
"S16.5","You Only Teach Once: Learn One-Shot Bimanual Robotic Manipulation from Video Demonstrations","Huayi Zhou, Ruixiang Wang, Yunxin Tai, Yueci Deng, Guiliang Liu, Kui Jia","Manipulation III","16. Manipulation III",5,16
"S16.6","Manual2Skill: Learning to Read Manuals and Acquire Robotic Skills for Furniture Assembly Using Vision-Language Models","Chenrui Tie, Shengxiang Sun, Jinxuan Zhu, Yiwei Liu, Jingxiang Guo, Yue Hu, Haonan Chen, Junting Chen, Ruihai Wu, Lin Shao","Manipulation III","16. Manipulation III",6,16
"S16.7","Sketch-to-Skill: Bootstrapping Robot Learning with Human Drawn Trajectory Sketches","Peihong Yu, Amisha Bhaskar, Anukriti Singh, Zahiruddin Mahammad, Pratap Tokekar","Manipulation III","16. Manipulation III",7,16
"S16.8","RoboMIND: Benchmark on Multi-embodiment Intelligence Normative Data for Robot Manipulation","Kun Wu, Chengkai Hou, Jiaming Liu, Zhengping Che, Xiaozhu Ju, Zhuqin Yang, Meng Li, Yinuo Zhao, Zhiyuan Xu, Guang Yang, Shichao Fan, Xinhua Wang, Fei Liao, Zhen Zhao, Guangyu Li, Zhao Jin, Lecheng Wang, Jilei Mao, Ning Liu, Pei Ren, Qiang Zhang, Yaoxu Lyu, Mengzhen Liu, He Jingyang, Yulin Luo, Zeyu Gao, Chenxuan Li, Chenyang Gu, Yankai Fu, Di Wu, Xingyu Wang, Sixiang Chen, Zhenyu Wang, Pengju An, Siyuan Qian, Shanghang Zhang, Jian Tang","Manipulation III","16. Manipulation III",8,16
"S16.9","PIN-WM: Learning Physics-INformed World Models for Non-Prehensile Manipulation","Wenxuan Li, Hang Zhao, Zhiyuan Yu, Yu Du, Qin Zou, Ruizhen Hu, Kai Xu","Manipulation III","16. Manipulation III",9,16
"S16.10","Hierarchical and Modular Network on Non-prehensile Manipulation in General Environments","Yoonyoung Cho, Junhyek Han, Jisu Han, Beomjoon Kim","Manipulation III","16. Manipulation III",10,16
"S17.1","Bridging Perception and Action: Spatially-Grounded Mid-Level Representations for Robot Generalization","Jonathan Heewon Yang, Chuyuan Fu, Dhruv Shah, Dorsa Sadigh, Fei Xia, Tingnan Zhang","Imitation Learning II","17. Imitation Learning II",1,17
"S17.2","ArticuBot: Learning Universal Articulated Object Manipulation Policy via Large Scale Simulation","Yufei Wang, Ziyu Wang, Mino Nakura, Pratik Bhowal, Chia-Liang Kuo, Yi-Ting Chen, Zackory Erickson, David Held","Imitation Learning II","17. Imitation Learning II",2,17
"S17.3","DemoGen: Synthetic Demonstration Generation for Data-Efficient Visuomotor Policy Learning","Zhengrong Xue, Shuying Deng, Zhenyang Chen, Yixuan Wang, Zhecheng Yuan, Huazhe Xu","Imitation Learning II","17. Imitation Learning II",3,17
"S17.4","IMLE Policy: Fast and Sample Efficient Visuomotor Policy Learning via Implicit Maximum Likelihood Estimation","Krishan Rana, Robert Lee, David Pershouse, Niko Suenderhauf","Imitation Learning II","17. Imitation Learning II",4,17
"S17.5","Dynamic Rank Adjustment in Diffusion Policies for Efficient and Flexible Training","Xiatao Sun, Shuo Yang, Yinxing Chen, Francis Fan, Yiyan (Edgar) Liang, Daniel Rakita","Imitation Learning II","17. Imitation Learning II",5,17
"S17.6","Gripper Pose and Object Pointflow as Interfaces for Robotic Bimanual Manipulation","Yuyin Yang, Zetao Cai, Yang Tian, Jia Zeng, Jiangmiao Pang","Imitation Learning II","17. Imitation Learning II",6,17
"S17.7","SKIL: Semantic Keypoint Imitation Learning for Generalizable Data-efficient Manipulation","Shengjie Wang, Jiacheng You, Yihang Hu, Jiongye Li, Yang Gao","Imitation Learning II","17. Imitation Learning II",7,17
"S17.8","Diffeomorphic Obstacle Avoidance for Contractive Dynamical Systems via Implicit Representations","Ken-Joel Simmoteit, Philipp Schillinger, Leonel Rozo","Imitation Learning II","17. Imitation Learning II",8,17
"S17.9","Learning Interpretable Features from Interventions","Erin Hedlund-Botti, Julianna Schalkwyk, Nina Marie Moorman, Chuxuan Yang, Lakshmi Seelam, Sanne Van Waveren, Russell Perkins, Paul Robinette, Matthew Craig Gombolay","Imitation Learning II","17. Imitation Learning II",9,17
